Sl.No	Generic Name	Item Weight	Manufacturer	Product Title	Rating	Number of Ratings	Bought in Past Month	MRP	Discount	Final Price
65		1 g	BHIMA	Buy BHIMA Jewellery 1gram 22kt Lord Ananthapadmanabha Gold Coin at Amazon.in	4.7 out of 5 stars	14		₹8,999.00	-9%	8,232
66	Laxmi Coin	5 g	No	Malabar Gold & Diamonds Gold Coin 22K 5 grams | Gold Coin 22k 916 Purity | 22 kt Gold Coin for Birthday, Wedding & Diwali Gift, Goddess Laxmi Impression : Amazon.in: Fashion	4.6 out of 5 stars	273		₹42,700.00	-7%	39,599
67		1 g	Bagnalore Refinery (P) Ltd	Bangalore Refinery 999 Purity 1 Gram Banyan Tree Gold Coin : Amazon.in: Jewellery	4.7 out of 5 stars	11		₹10,000.00	-12%	8,849
68	Gold Coin	2 g	KALYAN JEWELLERS	Buy Kalyan Jewellers 24K (999) Purity Lord Ganesh Gold Coin 2 Gms at Amazon.in				₹19,029.00	-9%	17,299
69	Gold Coin	100 g	CGR Metalloys Pvt Ltd	CGR 24K (999) 0.1gm Lakshmi Yantra BIS Hallmarked Gold Coin : Amazon.in: Jewellery	4.1 out of 5 stars	15		₹1,700.00	-23%	1,307
70	FashionJewelry	2 g	Muthoot Pappachan	Buy Muthoot Pappachan Swarnavarsham Hallmarked 24KT 999 Gold Coin (2 Gm) at Amazon.in	4.5 out of 5 stars	67	50+	₹20,854.00	-16%	17,509
71		1 g	Bhima Jewels	Bhima Jewels BIS Hallmark 22K Lakshmi Gold Coin 1 g : Amazon.in: Jewellery	4.0 out of 5 stars			₹9,500.00	-12%	8,407
72	Gold Coin	1 g	Muthoot Pappachan	Muthoot Pappachan Swarnavarsham Hallmarked 22KT Rose Gold Coin 1 Gm : Amazon.in: Jewellery				₹9,598.00	-14%	8,239
73	Coin	0.3 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Kuber-Inscribed Foil Coin - 0.3 Gram at Amazon.in	5.0 out of 5 stars			₹4,232.00	-19%	3,443
74		400 g	No	PC Jeweller 2 Gram 24K (995) Yellow Gold Fleur Coin : Amazon.in: Fashion	3.9 out of 5 stars	14		₹19,944.00	-8%	18,272
75		1 g	BHIMA	Buy BHIMA Jewellery 1gram 22kt Georgivs Head Gold Coin at Amazon.in	4.0 out of 5 stars	9		₹9,001.00	-9%	8,232
76	Gold Coin	2 g	P.C. Chandra Jewellers	P.C. Chandra Jewellers 24k (995) 2 gm Yellow Gold Coin : Amazon.in: Fashion	4.4 out of 5 stars	15		₹20,538.00	-14%	17,598
77		1 g	C.KRISHNIAH CHETTY JEWELLERS	C.Krishniah Chetty Goddess Lakshmi 22k (916) 1 Gm Gold Coin : Amazon.in: Fashion	4.6 out of 5 stars	31		₹8,200.00	-2%	8,020
78	Gold Coin	1 g	Joyalukkas India LTD	Joyalukkas 1gm 22K (916) Yellow Gold Coin with Happy Birthday Design : Amazon.in: Jewellery	1.0 out of 5 stars			₹9,000.00	-10%	8,100
79	Gold Coin	2 g	KALYAN JEWELLERS	Buy Kalyan Jewelers 2 grams 22K (916) Purity Gold Coins - BIS Hallmarked - Rose at Amazon.in	4.6 out of 5 stars	7		₹17,610.00	-9%	16,009
80	gold	398 g	No	PC Jeweller 24k (995) 2 gm Yellow Gold Coin : Amazon.in: Jewellery	3.3 out of 5 stars	19		₹19,944.00	-8%	18,272
